,ingredients,cuisine
10,"['ginger', 'garlic', 'bell', 'pepper', 'onion', 'canola', 'oil', 'steak', 'babi', 'bok', 'leav', 'soy', 'sauc', 'oyster', 'sauc', 'rice', 'vinegar', 'sesam', 'oil', 'corn', 'starch', 'fri', 'sauc']",chinese
11,"['ground', 'beef', 'bean', 'picant', 'sauc', 'flour', 'cheddar', 'chees', 'tomato', 'oliv']",mexican
12,"['oil', 'garlic', 'onion', 'sausag', 'rice', 'chicken', 'stock', 'tomato', 'coriand', 'chees']",spanish
13,"['chicken', 'breast', 'onion', 'tomato', 'wheat', 'pita', 'pocket', 'lettuc', 'chees', 'sauc', 'cucumb', 'yogurt', 'dill', 'garlic', 'tabl', 'salt']",greek
14,"['ground', 'beef', 'onion', 'garlic', 'leaf', 'parsley', 'egg', 'salt', 'ground', 'pepper', 'bread', 'crumb', 'mzarella', 'chees', 'oil']",italian
15,"['chicken', 'onion', 'carrot', 'potato', 'almond', 'chermoula', 'sea', 'salt', 'oil', 'juic', 'lemon', 'prune', 'oliv', 'lemon', 'cilantro', 'parsley', 'leav', 'garlic', 'clove', 'coriand', 'leaf', 'parsley', 'ground', 'cumin', 'ground', 'coriand', 'chili', 'ground', 'turmer', 'paprika', 'hanout']",moroccan
16,"['noodl', 'oil', 'onion', 'bell', 'pepper', 'garlic', 'clove', 'cottag', 'chees', 'yogurt', 'paprika', 'salt', 'pepper', 'onion', 'powder']",hungarian
17,"['canola', 'oil', 'bacon', 'onion', 'mushroom', 'juic', 'pineappl', 'slice', 'veggi', 'burger', 'wheat', 'hamburg', 'bun', 'chees', 'barbecu', 'sauc', 'tomato', 'lettuc']",hawaiian
18,"['flour', 'butter', 'egg', 'season', 'spinach', 'oil', 'chees', 'onion', 'garlic', 'dill', 'lemon', 'zest', 'ground', 'pepper', 'cream']",greek
19,"['beef', 'stew', 'meat', 'salt', 'ground', 'pepper', 'wine', 'thyme', 'bay', 'leav', 'carrot', 'mushroom', 'onion', 'garlic', 'oil', 'beef', 'broth', 'water', 'tomato', 'past']",french
20,"['rice', 'chex', 'coconut', 'cayenn', 'pepper', 'mayonnais', 'dijon', 'mustard', 'honey', 'chicken', 'breast', 'pineappl', 'chunk', 'bell', 'pepper']",hawaiian
21,"['veget', 'oil', 'beef', 'meat', 'stew', 'onion', 'garlic', 'paprika', 'ground', 'pepper', 'flour', 'water', 'potato', 'salt', 'mushroom', 'carrot']",hungarian
22,"['veget', 'oil', 'ground', 'beef', 'onion', 'garlic', 'clove', 'tomato', 'appl', 'chili', 'raisin', 'water', 'oregano', 'thyme', 'salt', 'pepper', 'butter', 'almond', 'rice']",cuban
23,"['beef', 'chuck', 'roast', 'beef', 'soy', 'sauc', 'sugar', 'sesam', 'oil', 'garlic', 'clove', 'corn', 'starch', 'sauc', 'broccoli', 'floret', 'rice']",chinese
24,"['breadcrumb', 'pepper', 'almond', 'oil', 'sherri', 'wine', 'vinegar', 'garlic', 'clove', 'paprika', 'parsley', 'leav', 'leaf', 'parsley', 'chicken', 'cutlet', 'ham', 'butter', 'lettuc']",spanish
25,"['chili', 'chili', 'ground', 'cumin', 'ground', 'oregano', 'thyme', 'coriand', 'seed', 'water', 'bacon', 'roast', 'salt', 'onion', 'garlic', 'chili', 'tomato', 'lime', 'juic', 'sugar', 'kidney', 'bean', 'corn', 'starch', 'cheddar', 'chees', 'onion']",mexican
26,"['beef', 'steak', 'pepper', 'salt']",american
27,"['chicken', 'breast', 'onion', 'butter', 'garlic', 'ginger', 'curri', 'powder', 'curri', 'past', 'garam', 'masala', 'turmer', 'cayenn', 'pepper', 'salt', 'tomato', 'past', 'coconut', 'milk', 'yogurt', 'cream', 'rice']",indian
28,"['chicken', 'wing', 'drummett', 'salt', 'pepper', 'oil', 'onion', 'chorizo', 'tomato', 'rice', 'butter', 'bean', 'chicken', 'broth', 'pea']",spanish
29,"['rice', 'oil', 'onion', 'garlic', 'clove', 'ginger', 'curri', 'powder', 'cauliflow', 'cherri', 'tomato', 'spinach', 'cilantro', 'salt', 'pepper']",indian
30,"['pineappl', 'ring', 'hamburg', 'patti', 'season', 'chees', 'bun', 'mayonnais', 'lettuc', 'onion', 'tomato', 'teriyaki', 'sauc']",hawaiian
31,"['beef', 'tenderloin', 'butter', 'onion', 'mushroom', 'liver', 'pate', 'salt', 'pepper', 'pastri', 'sheet', 'egg', 'yolk', 'beef', 'broth', 'wine']",english
32,"['beef', 'bay', 'leav', 'caraway', 'seed', 'peppercorn', 'parsnip', 'carrot', 'turnip', 'onion', 'potato', 'cabbag', 'beet']",irish
33,"['corn', 'starch', 'chicken', 'broth', 'soy', 'sauc', 'chicken', 'breast', 'veget', 'ground', 'ginger', 'garlic', 'powder', 'rice']",chinese
34,"['chicken', 'garlic', 'clove', 'ginger', 'turmer', 'garam', 'masala', 'lime', 'juic', 'yogurt', 'salt', 'ghee', 'onion', 'garlic', 'chili', 'ground', 'cumin', 'ground', 'coriand', 'ground', 'turmer', 'chili', 'tomato', 'past', 'tomato', 'fenugreek']",english
35,"['beef', 'brisket', 'season', 'potato', 'carrot', 'cabbag', 'cream', 'horseradish', 'dijon', 'mustard', 'cayenn', 'pepper', 'parsley', 'sugar', 'appl', 'cider', 'vinegar', 'mustard', 'garlic', 'powder', 'onion', 'powder']",irish
36,"['chicken', 'breast', 'halv', 'parmesan', 'chees', 'flour', 'salt', 'pepper', 'oil', 'butter', 'chicken', 'stock', 'lemon', 'juic', 'caper', 'parsley']",italian
37,"['chicken', 'breast', 'oil', 'salt', 'pepper', 'onion', 'garlic', 'lemon', 'garam', 'masala', 'paprika', 'tomato', 'oliv', 'oil', 'cilantro', 'cauliflow', 'almond', 'ghee', 'cilantro', 'garlic', 'salt']",moroccan
38,"['sack', 'cheddar', 'chees', 'gruyer', 'chees', 'flour', 'beer', 'mustard', 'sauc', 'worcestershir', 'sauc', 'brat', 'frank', 'cauliflow', 'pickl', 'onion', 'rye']",german
39,"['rigatoni', 'oil', 'garlic', 'cherri', 'tomato', 'basil', 'leav', 'mzarella']",italian
40,"['veget', 'oil', 'eye', 'onion', 'smith', 'appl', 'garlic', 'clove', 'ginger', 'sake', 'mirin', 'salt', 'curri', 'powder', 'sauc', 'mix', 'garam', 'masala', 'soy', 'sauc', 'sugar', 'chicken', 'broth', 'carrot', 'gold', 'potato', 'kabocha', 'squash', 'udon', 'corn', 'starch', 'flour']",japanese
41,"['beef', 'brisket', 'rosemari', 'beef', 'stock', 'carrot', 'potato', 'butter', 'milk', 'pea', 'onion', 'oil', 'wine', 'worcestershir', 'sauc', 'chees']",english
42,"['oil', 'bone', 'chicken', 'thigh', 'carrot', 'onion', 'fennel', 'bulb', 'water', 'garlic', 'tomato', 'chicken', 'broth', 'wine', 'liqueur', 'thyme', 'salt', 'pepper', 'bay', 'leaf', 'saffron', 'thread']",french
43,"['ground', 'beef', 'taco', 'season', 'water', 'salsa', 'kernel', 'corn', 'cheddar', 'chees', 'biscuit', 'bake', 'mix', 'milk', 'pepper']",english
44,"['bacon', 'slice', 'molass', 'butter', 'rib', 'eye', 'steak']",american
45,"['pizza', 'dough', 'sausag', 'butter', 'potato', 'sauerkraut', 'cheddar', 'chees', 'caraway', 'seed']",german
46,"['ground', 'beef', 'ground', 'pork', 'butter', 'onion', 'panko', 'breadcrumb', 'egg', 'nutmeg', 'allspic', 'salt', 'pepper', 'flour', 'beef', 'broth', 'cream', 'egg', 'noodl', 'gruyer', 'chees', 'chive']",swedish
47,"['duck', 'drumstick', 'ground', 'pepper', 'salt', 'carrot', 'potato', 'leek', 'garlic', 'clove', 'thyme', 'bay', 'leaf', 'chicken', 'broth', 'wine', 'water']",french
48,"['egg', 'noodl', 'oil', 'chicken', 'breast', 'onion', 'carrot', 'pepper', 'soy', 'sauc', 'sesam', 'oil', 'onion', 'salt']",chinese
49,"['lime', 'garlic', 'cilantro', 'oil', 'salt', 'pepper', 'pork', 'chop', 'chees', 'ham', 'steak', 'dill', 'pickl']",cuban
50,"['sake', 'mirin', 'miso', 'past', 'sugar', 'fish', 'oil', 'chili', 'scallion']",japanese
51,"['cabbag', 'sugar', 'salt', 'celeri', 'seed', 'veget', 'oil', 'appl', 'cider', 'vinegar', 'ground', 'pepper', 'brat', 'onion', 'beer', 'hoagi', 'roll', 'mustard']",german
52,"['beef', 'oil', 'onion', 'garlic', 'carrot', 'parsnip', 'celeri', 'stick', 'tomato', 'pepper', 'ground', 'paprika', 'bay', 'leav', 'caraway', 'seed']",hungarian
53,"['salt', 'pancetta', 'egg', 'yolk', 'egg', 'parmesan', 'chees', 'ground', 'pepper', 'bucatini']",italian
54,"['tofu', 'soy', 'sauc', 'sesam', 'oil', 'oil', 'sesam', 'seed', 'onion']",japanese
55,"['meatbal', 'ground', 'beef', 'salt', 'pepper', 'onion', 'powder', 'garlic', 'powder', 'garlic', 'soy', 'sauc', 'parsley', 'egg', 'sauc', 'ketchup', 'soy', 'pineappl', 'juic', 'honey', 'appl', 'cider', 'vinegar', 'sherri', 'ginger', 'water', 'rice']",hawaiian
56,"['steak', 'oil', 'onion', 'garlic', 'ketchup', 'soy', 'sauc', 'sugar', 'salt', 'paprika', 'mustard', 'water']",hungarian
57,"['garlic', 'clove', 'chili', 'chili', 'cilantro', 'pork', 'shoulder', 'salt', 'ground', 'pepper', 'oil', 'onion', 'oregano', 'chicken', 'stock', 'ground', 'clove']",mexican
58,"['mint', 'paprika', 'ground', 'cinnamon', 'salt', 'oil', 'ground', 'lamb', 'hamburg', 'bun', 'spinach', 'chees', 'onion', 'balsam', 'vinegar']",greek
59,"['blade', 'roast', 'beef', 'stock', 'wine', 'bay', 'leav', 'worcestershir', 'sauc', 'nutmeg', 'pepper', 'salt', 'thyme', 'garlic', 'carrot', 'parsnip', 'shallot', 'water', 'flour']",english
60,"['flour', 'season', 'garlic', 'powder', 'pepper', 'center', 'pork', 'chop', 'buttermilk', 'veget', 'oil', 'cook', 'spray', 'veget', 'oil', 'milk', 'salt', 'ground', 'pepper']",american
61,"['pineappl', 'juic', 'chicken', 'breast', 'mushroom', 'onion', 'bell', 'pepper', 'bell', 'pepper', 'bell', 'pepper', 'pineappl', 'teriyaki', 'sauc']",hawaiian
62,"['oil', 'onion', 'beef', 'mirin', 'sake', 'soy', 'sauc', 'edamam']",japanese
63,"['corn', 'tortilla', 'cheddar', 'chees', 'enchilada', 'sauc', 'cabbag', 'tomato', 'cotija', 'cream']",mexican
64,"['beef', 'brisket', 'water', 'bay', 'leav', 'peppercorn', 'allspic', 'berri', 'clove', 'cabbag', 'potato', 'pepper', 'mustard']",irish
65,"['oil', 'onion', 'garlic', 'clove', 'ground', 'ginger', 'ground', 'pepper', 'cinnamon', 'ground', 'clove', 'chicken', 'meat', 'bone', 'chicken', 'stock', 'saffron', 'lemon', 'oliv', 'parsley', 'coriand', 'sea', 'salt']",moroccan
66,"['oil', 'salt', 'garlic', 'oregano', 'tomato', 'onion', 'dough', 'mzarella', 'chees', 'chees', 'kalamata']",greek
67,"['duck', 'drumstick', 'garlic', 'clove', 'tabl', 'salt', 'peppercorn', 'sea', 'salt', 'bay', 'leav', 'duck', 'fat']",french
68,"['bean', 'chili', 'onion', 'juic', 'tomato', 'sauc', 'molass', 'chili', 'cider', 'vinegar', 'soy', 'sauc', 'rice']",cuban
69,"['oil', 'chicken', 'garlic', 'paprika', 'oregano', 'lemon', 'salt', 'pepper', 'potato', 'pita', 'cucumb', 'avocado', 'kalamata', 'chees', 'onion', 'microgreen', 'pistachio', 'lemon', 'juic', 'basil', 'chili']",greek
70,"['ground', 'beef', 'sausag', 'pecan', 'chees', 'oat', 'beef', 'broth', 'egg', 'salt', 'pepper', 'mayonnais', 'lemon', 'season', 'sauc', 'onion', 'butter', 'oil']",american
71,"['balsam', 'vinegar', 'salt', 'ground', 'pepper', 'thyme', 'leav', 'beef', 'chuck', 'ghee', 'onion', 'garlic', 'bay', 'leav', 'fire', 'tomato', 'beef', 'broth', 'zucchini', 'carrot', 'parsley', 'leav', 'oil']",french
72,"['sushi', 'rice', 'water', 'rice', 'vinegar', 'sesam', 'oil', 'sugar', 'salt', 'nori', 'sheet', 'season', 'avocado', 'lemon', 'cucumb', 'imit', 'crab', 'meat', 'sesam', 'seed', 'wasabi', 'past', 'soy', 'sauc', 'fish', 'fish']",japanese
73,"['chicken', 'breast', 'lemon', 'onion', 'garlic', 'clove', 'ginger', 'root', 'yogurt', 'oil', 'garam', 'masala']",indian
74,"['ground', 'beef', 'onion', 'chili', 'taco', 'season', 'salsa', 'taco', 'sauc', 'bean', 'corn', 'kernel', 'cilantro', 'salt', 'ground', 'pepper', 'tortilla', 'chip', 'chees', 'cream', 'salsa', 'tomato', 'onion', 'onion', 'guacamol', 'cilantro', 'onion', 'chili', 'garlic', 'powder', 'corn', 'starch', 'ground', 'cumin', 'cayenn', 'pepper', 'oregano']",mexican
75,"['lemon', 'juic', 'oil', 'ground', 'rosemari', 'oregano', 'thyme', 'salt', 'pepper']",greek
76,"['pork', 'shoulder', 'oil', 'fivespic', 'powder', 'garlic', 'soda', 'sugar', 'soy', 'sauc', 'hoisin', 'sauc', 'sesam', 'oil', 'shaox', 'wine', 'corn', 'starch', 'flour', 'ground', 'pepper', 'ground', 'pepper', 'salt']",chinese
77,"['cherri', 'tomato', 'cucumb', 'kalamata', 'oliv', 'chees', 'onion', 'bell', 'pepper', 'lemon', 'oil', 'basil', 'chicken', 'breast', 'garlic', 'powder', 'salt', 'pepper']",greek
78,"['chicken', 'breast', 'garlic', 'powder', 'salt', 'ground', 'cumin', 'chees', 'blend', 'corn', 'tortilla', 'oil', 'spray']",mexican
79,"['steak', 'corn', 'starch', 'oyster', 'sauc', 'sesam', 'oil', 'carrot', 'garlic', 'scallion', 'cabbag', 'noodl', 'sugar', 'soy', 'sauc']",chinese
80,"['chicken', 'thigh', 'grapese', 'oil', 'ginger', 'garlic', 'cardamom', 'clove', 'pepper', 'cinnamon', 'onion', 'tomato', 'ground', 'turmer', 'ground', 'coriand', 'ground', 'cumin', 'cayenn', 'chili', 'salt', 'water', 'cilantro']",indian
81,"['wine', 'saffron', 'thread', 'oil', 'drummett', 'salt', 'onion', 'bell', 'pepper', 'oregano', 'ground', 'cumin', 'plum', 'tomato', 'pepper', 'flake', 'paprika', 'bay', 'leaf', 'rice', 'chicken', 'broth', 'chorizo', 'garlic', 'clove', 'shrimp', 'lobster', 'tail', 'sea', 'scallop', 'pimento', 'lemon']",cuban
82,"['flour', 'butter', 'egg', 'season', 'spinach', 'oil', 'chees', 'onion', 'garlic', 'dill', 'lemon', 'peel', 'ground', 'pepper', 'half']",greek
83,"['ground', 'turkey', 'lemon', 'juic', 'lemon', 'zest', 'oregano', 'garlic', 'salt', 'pepper', 'chees', 'cream', 'chees', 'dill', 'yogurt', 'hamburg', 'bun', 'tomato', 'cucumb', 'onion']",greek
84,"['oil', 'onion', 'sea', 'salt', 'ground', 'pepper', 'balsam', 'vinegar', 'sugar', 'potato', 'chicken', 'chees', 'egg', 'thyme', 'cream', 'pastri']",french
85,"['oil', 'onion', 'garlic', 'clove', 'pepper', 'flake', 'tuttorosso', 'tomato', 'tomato', 'past', 'sugar', 'oregano', 'cream', 'shrimp', 'salt', 'pepper', 'kalamata', 'chees']",greek
86,"['veget', 'oil', 'pork', 'potato', 'appl', 'onion', 'flour', 'wine', 'ground', 'mustard', 'worcestershir', 'sauc', 'butter', 'milk']",english
87,"['oil', 'rump', 'roast', 'onion', 'paprika', 'paprika', 'pepper', 'tomato', 'juic', 'beef', 'stock', 'ground', 'pepper', 'cream']",hungarian
88,"['pinenut', 'chees', 'half', 'cream', 'chees', 'fettuccin', 'spinach', 'ham', 'parsley', 'salt']",american
89,"['appl', 'juic', 'sugar', 'mustard', 'beef', 'potato', 'carrot', 'onion', 'cabbag']",irish
90,"['butter', 'onion', 'ground', 'pepper', 'salt', 'garlic', 'clove', 'thyme', 'leav', 'rosemari', 'chicken', 'broth', 'balsam', 'vinegar', 'dijon', 'mustard', 'chicken', 'thigh', 'gruyer', 'chees']",french
91,"['bacon', 'onion', 'ground', 'beef', 'chili', 'garlic', 'chili', 'cumin', 'oregano', 'salt', 'tomato', 'beef', 'broth', 'kidney', 'bean', 'lime', 'cilantro', 'cheddar', 'chees']",mexican
92,"['stew', 'meat', 'flour', 'salt', 'pepper', 'paprika', 'oil', 'onion', 'tomato', 'sauc', 'beef', 'garlic']",hungarian
93,"['beef', 'chuck', 'roast', 'pepper', 'onion', 'beer', 'ketchup', 'sugar', 'flour', 'water']",german
94,"['pork', 'tenderloin', 'ground', 'cumin', 'pepper', 'garlic', 'oil', 'salt', 'mayonnais', 'hoagi', 'roll', 'mustard', 'ham', 'dill', 'pickl']",cuban
95,"['eggplant', 'ricotta', 'chees', 'garlic', 'onion', 'sea', 'salt', 'oil', 'onion', 'bell', 'pepper', 'paprika', 'ground', 'cumin', 'ground', 'cinnamon', 'pepper', 'flake', 'harissa', 'sauc', 'tomato', 'basil', 'chees']",moroccan
96,"['salt', 'pasta', 'oil', 'pepper', 'pecorino', 'romano', 'chees']",italian
97,"['pork', 'belli', 'pork', 'shoulder', 'pork', 'liver', 'onion', 'salt', 'pepper', 'thyme', 'pork']",german
98,"['chicken', 'breast', 'sauc', 'onion', 'oliv', 'oil', 'garlic', 'clove', 'wine']",cuban
99,"['rice', 'beef', 'onion', 'soy', 'sauc', 'mirin', 'sugar', 'sake']",japanese
100,"['chicken', 'breast', 'halv', 'onion', 'apricot', 'raisin', 'chicken', 'broth', 'tomato', 'past', 'lemon', 'juic', 'flour', 'ground', 'ginger', 'ground', 'cumin', 'ground', 'cinnamon', 'pepper', 'curri', 'powder', 'cayenn', 'pepper', 'couscou', 'water']",moroccan
101,"['ground', 'lamb', 'mint', 'dill', 'kalamata', 'oregano', 'ground', 'cumin', 'coriand', 'salt', 'pepper', 'burger', 'bun', 'babi', 'arugula', 'tzatziki', 'sauc', 'tomato', 'cucumb', 'onion', 'chees']",greek
102,"['peppercorn', 'mustard', 'seed', 'cumin', 'seed', 'coriand', 'seed', 'fenugreek', 'seed', 'clove', 'cinnamon', 'paprika', 'palm', 'vinegar', 'ground', 'turmer', 'sugar', 'garlic', 'ginger', 'chicken', 'thigh', 'canola', 'oil', 'onion', 'chili', 'potato', 'rice']",indian
103,"['fish', 'ground', 'pepper', 'salt', 'somen', 'cherri', 'tomato', 'daikon', 'cucumb', 'sauc', 'mitsuba']",japanese
104,"['bean', 'water', 'garlic', 'clove', 'onion', 'pepper', 'paprika', 'ground', 'cumin', 'bay', 'leav', 'oregano', 'chicken', 'stock', 'chili', 'vinegar', 'pepper', 'salt']",cuban
105,"['ground', 'beef', 'onion', 'chili', 'pasta', 'sauc', 'taco', 'size', 'wheat', 'tortilla', 'cheddar', 'chees', 'veget', 'oil']",mexican
106,"['onion', 'carrot', 'oil', 'bay', 'leav', 'beef', 'brisket', 'beef', 'stock', 'spice', 'bacon', 'gold', 'potato', 'sea', 'salt', 'savoy', 'cabbag', 'veget', 'stock', 'cream', 'butter', 'scallion', 'parsley', 'thyme', 'pepper', 'nutmeg']",irish
107,"['chicken', 'thigh', 'wood', 'ear', 'mushroom', 'water', 'chicken', 'stock', 'burdock', 'vinegar', 'canola', 'oil', 'onion', 'shiitak', 'mushroom', 'ginger', 'garlic', 'mirin', 'miso', 'soy', 'sauc', 'rib', 'mustard', 'green', 'scallion']",japanese
108,"['roast', 'sugar', 'flour', 'beef', 'broth', 'thyme', 'salt', 'pepper', 'garlic', 'celeri', 'potato', 'carrot', 'onion', 'bean', 'garden', 'pea']",english
109,"['ground', 'beef', 'vidalia', 'onion', 'garlic', 'clove', 'pepper', 'thyme', 'tomato', 'pur??', 'paprika', 'wine', 'vinegar', 'worcestershir', 'sauc', 'mustard', 'water', 'salt']",hungarian
110,"['plum', 'tomato', 'oil', 'onion', 'garlic', 'clove', 'broth', 'ham', 'oliv', 'fish', 'salt', 'mayonnais', 'pimenton']",spanish
111,"['parsley', 'onion', 'carrot', 'garlic', 'clove', 'chili', 'oil', 'meat', 'bone', 'salt', 'pepper', 'lentil', 'water', 'bread', 'wine', 'vinegar', 'escarol', 'grain', 'mustard']",french
112,"['steak', 'soy', 'sauc', 'sherri', 'sugar', 'corn', 'starch', 'ginger', 'snow', 'pea', 'scallion', 'salt', 'peanut', 'pepper', 'jasmin']",chinese
113,"['chicken', 'breast', 'noodl', 'carrot', 'straw', 'mushroom', 'veget', 'oil', 'garlic', 'salt', 'pepper', 'soy', 'sauc', 'rice', 'wine', 'sesam', 'oil', 'corn', 'starch', 'chicken', 'broth', 'oyster', 'sauc', 'sugar']",chinese
114,"['oil', 'sausag', 'noodl', 'sauc', 'soy', 'sauc', 'onion']",chinese
115,"['salt', 'spaghetti', 'oil', 'garlic', 'clove', 'pepper', 'flake', 'parsley', 'parmesan', 'chees']",italian
116,"['pumpkin', 'potato', 'ginger', 'oil', 'garlic', 'onion', 'cilantro', 'tomato', 'garam', 'masala', 'chili', 'sea', 'salt', 'bay', 'leaf', 'water', 'ground', 'cumin', 'amchur']",indian
117,"['oil', 'bone', 'chicken', 'thigh', 'salt', 'pepper', 'fennel', 'wine', 'onion', 'garlic', 'chicken', 'broth', 'tomato', 'bay', 'leaf', 'thyme', 'saffron', 'thread', 'bread']",french
118,"['beef', 'shank', 'parsley', 'thyme', 'bay', 'leaf', 'pancetta', 'baton', 'onion', 'carrot', 'garlic', 'pinot', 'noir', 'chicken', 'stock', 'tomato', 'past', 'mushroom', 'powder', 'pearl', 'onion', 'button', 'mushroom', 'brandi', 'flour']",french
119,"['fish', 'oil', 'plum', 'tomato', 'chees', 'onion', 'basil', 'kalamata', 'lemon', 'juic']",greek
120,"['oil', 'garlic', 'oregano', 'dill', 'mix', 'egg', 'spinach', 'chees', 'salt', 'pepper', 'burger', 'wheat', 'hamburg', 'bun', 'pepper', 'onion', 'tomato', 'chees', 'yogurt', 'cucumb', 'garlic', 'clove', 'lemon', 'juic']",greek
121,"['ketchup', 'water', 'molass', 'appl', 'cider', 'vinegar', 'dijon', 'mustard', 'sugar', 'worcestershir', 'sauc', 'salt', 'sauc', 'garlic', 'clove', 'pepper', 'chicken', 'part', 'veget', 'oil']",american
122,"['onion', 'ground', 'beef', 'flour', 'butter', 'season', 'beef', 'broth', 'veget', 'potato', 'cheddar', 'chees']",english
123,"['spray', 'beef', 'tenderloin', 'steak', 'pepper', 'salt', 'mushroom', 'onion', 'garlic', 'beef', 'broth', 'cream', 'parsley']",american
124,"['chicken', 'breast', 'salt', 'pepper', 'butter', 'oil', 'pancetta', 'shallot', 'garlic', 'clove', 'wine', 'chicken', 'broth', 'pepper', 'thyme', 'tomato', 'oliv']",spanish
125,"['elbow', 'macaroni', 'salt', 'oil', 'butter', 'turkey', 'meat', 'garlic', 'clove', 'onion', 'bell', 'pepper', 'paprika', 'ground', 'cumin', 'pepper', 'chicken', 'stock', 'cream', 'leaf', 'parsley', 'dill']",hungarian
126,"['bean', 'radish', 'oil', 'ground', 'chicken', 'garlic', 'soy', 'sauc', 'sesam', 'oil']",chinese
127,"['pork', 'chop', 'sausag', 'potato', 'cabbag', 'onion', 'appl', 'sauerkraut', 'caraway', 'seed', 'chicken', 'broth', 'appl', 'juic', 'pepper', 'ground', 'clove']",german
128,"['canola', 'oil', 'chicken', 'breast', 'garlic', 'bell', 'pepper', 'snow', 'pea', 'cashew', 'nut', 'onion', 'chicken', 'broth', 'soy', 'sauc', 'corn', 'starch', 'ground', 'ginger']",chinese
129,"['sugar', 'peel', 'mustard', 'ground', 'clove', 'beef', 'brisket', 'onion', 'water', 'appl', 'juic', 'carrot', 'cabbag']",irish
130,"['gold', 'potato', 'butter', 'onion', 'salt', 'beef', 'ground', 'pepper', 'egg', 'parsley']",irish
131,"['chicken', 'breast', 'paprika', 'salt', 'butter', 'onion', 'garlic', 'tomato', 'chicken', 'stock', 'cream', 'noodl']",hungarian
132,"['flour', 'sugar', 'salt', 'powder', 'butter', 'juic', 'ice', 'water', 'oil', 'onion', 'garlic', 'tomato', 'artichok', 'heart', 'spinach', 'egg', 'milk', 'chees', 'parsley']",greek
133,"['pita', 'pocket', 'chicken', 'breast', 'grape', 'tomato', 'cucumb', 'onion', 'kalamata', 'oil', 'pepper', 'lemon', 'zest', 'oregano', 'salt', 'chees']",greek
134,"['soy', 'sauc', 'sugar', 'pineappl', 'lemon', 'juic', 'ginger', 'oil', 'corn', 'starch', 'water', 'chicken', 'breast']",hawaiian
135,"['ground', 'beef', 'ranch', 'dress', 'honey', 'dijon', 'mustard', 'monterey', 'jack']",english
136,"['oil', 'oregano', 'garlic', 'tomato', 'onion', 'parsley', 'lemon', 'juic', 'spaghetti', 'chees', 'ground', 'pepper', 'lemon', 'slice', 'onion']",greek
137,"['lemon', 'juic', 'oregano', 'oil', 'garlic', 'chicken', 'breast', 'zucchini', 'onion', 'garlic', 'clove', 'salt', 'pepper']",greek
138,"['thyme', 'sprig', 'parsley', 'sprig', 'beef', 'brisket', 'bay', 'leav', 'peppercorn', 'onion', 'carrot', 'potato', 'cabbag', 'cream', 'horseradish', 'salt']",irish
139,"['chicken', 'breast', 'soy', 'sauc', 'water', 'sugar', 'onion', 'onion', 'garlic', 'sesam', 'oil', 'coconut', 'milk']",hawaiian
140,"['cauliflow', 'broccoli', 'onion', 'garlic', 'clove', 'butter', 'flour', 'milk', 'dijon', 'mustard', 'bacon', 'rasher', 'panko', 'breadcrumb', 'butter', 'parsley', 'salt', 'pepper']",english
