,ingredients,cuisine
57,"['', 'clove garlic', 'chili', 'chili', 'cilantro', 'pork shoulder', 'salt', 'ground pepper', 'oil', 'onion', 'oregano', 'chicken stock', 'clove ground']",mexican
58,"['mint', 'paprika', 'cinnamon ground', 'salt', 'oil', 'ground lamb', 'bun hamburg', 'spinach', 'chees', 'onion', 'balsam vinegar']",greek
59,"['blade roast', 'beef stock', 'wine', 'bay leav', 'sauc worcestershir', 'nutmeg', 'pepper', 'salt', 'thyme', 'garlic', 'carrot', 'parsnip', 'shallot', 'water', 'flour']",english
60,"['flour', 'season', 'garlic powder', 'pepper', 'center chop pork', 'buttermilk', 'cook oil spray veget', 'oil veget', 'milk', 'salt', 'ground pepper']",american
61,"['juic pineappl', 'breast chicken', 'mushroom', 'onion', 'bell pepper', 'bell pepper', 'bell pepper', 'pineappl', 'sauc teriyaki']",hawaiian
62,"['oil', 'onion', 'beef', 'mirin', 'sake', 'sauc soy', 'edamam']",japanese
63,"['corn tortilla', 'cheddar chees', 'enchilada sauc', 'cabbag', 'tomato', 'cotija', 'cream']",mexican
64,"['beef brisket', 'water', 'bay leav', 'peppercorn', 'allspic berri', 'clove', 'cabbag', 'potato', 'pepper', 'mustard']",irish
65,"['oil', 'onion', 'clove garlic', 'ginger ground', 'ground pepper', 'cinnamon', 'clove ground', 'chicken', 'bone meat', 'chicken stock', 'saffron', 'lemon', 'oliv', 'parsley', 'coriand', 'salt sea']",moroccan
66,"['oil', 'salt', 'garlic', 'oregano', 'tomato', 'onion', 'dough', 'chees mzarella', 'chees', 'kalamata']",greek
67,"['drumstick duck', 'clove garlic', 'salt tabl', 'peppercorn', 'salt sea', 'bay leav', 'duck fat']",french
68,"['bean', 'chili', 'onion', 'juic', 'sauc tomato', 'molass', 'chili', 'cider vinegar', 'sauc soy', 'rice']",cuban
69,"['oil', 'chicken', 'garlic', 'paprika', 'oregano', 'lemon', 'salt', 'pepper', 'potato', 'pita', 'cucumb', 'avocado', 'kalamata', 'chees', 'onion', 'microgreen', 'pistachio', 'juic lemon', 'basil', 'chili']",greek
70,"['beef ground', 'sausag', 'pecan', 'chees', 'oat', 'beef broth', 'egg', 'salt', 'pepper', 'mayonnais', 'lemon', 'season', 'sauc', 'onion', 'butter oil']",american
71,"['balsam vinegar', 'salt', 'ground pepper', 'leav thyme', '', 'beef chuck', 'ghee', 'onion', 'garlic', 'bay leav', 'fire tomato', 'beef broth', 'zucchini', 'carrot', 'leav parsley', 'oil']",french
72,"['rice sushi', 'water', 'rice vinegar', 'oil sesam', 'sugar', 'salt', 'nori sheet', 'season', 'avocado', 'lemon', 'cucumb', 'crab imit meat', 'seed sesam', 'past wasabi', 'sauc soy', '', 'fish', 'fish']",japanese
73,"['breast chicken', 'lemon', 'onion', 'clove garlic', 'ginger root', 'yogurt', 'oil', 'garam masala']",indian
74,"['beef ground', 'onion', 'chili', 'season taco', 'salsa', 'sauc taco', 'bean', 'corn kernel', 'cilantro', 'salt', 'ground pepper', 'chip tortilla', 'chees', 'cream', 'salsa', 'tomato', 'onion', 'onion', 'guacamol', 'cilantro', 'onion', 'chili', 'garlic powder', 'corn starch', 'cumin ground', 'cayenn pepper', 'oregano']",mexican
75,"['juic lemon', 'oil', 'ground rosemari', 'oregano', 'thyme', 'salt', 'pepper']",greek
76,"['pork shoulder', 'oil', 'fivespic powder', 'garlic', 'soda', 'sugar', 'sauc soy', 'hoisin sauc', 'oil sesam', 'shaox wine', 'corn starch', 'flour', 'ground pepper', 'ground pepper', 'salt']",chinese
77,"['cherri tomato', 'cucumb', 'kalamata oliv', 'chees', 'onion', 'bell pepper', 'lemon', 'oil', 'basil', 'breast chicken', 'garlic powder', 'salt', 'pepper']",greek
78,"['breast chicken', 'garlic powder', 'salt', 'cumin ground', 'blend chees', 'corn tortilla', 'oil spray']",mexican
79,"['steak', 'corn starch', 'oyster sauc', 'oil sesam', 'carrot', 'garlic', 'scallion', 'cabbag', 'noodl', 'sugar', 'sauc soy']",chinese
80,"['chicken thigh', 'grapese oil', 'ginger', 'garlic', 'cardamom', 'clove', 'pepper', 'cinnamon', 'onion', 'tomato', 'ground turmer', 'coriand ground', 'cumin ground', 'cayenn', 'chili', 'salt', 'water', 'cilantro']",indian
81,"['wine', 'saffron thread', 'oil', 'drummett', 'salt', 'onion', 'bell pepper', 'oregano', 'cumin ground', 'plum tomato', 'flake pepper', 'paprika', 'bay leaf', 'rice', 'broth chicken', 'chorizo', 'clove garlic', 'shrimp', 'lobster tail', 'scallop sea', 'pimento', 'lemon']",cuban
82,"['flour', 'butter', 'egg', 'season', 'spinach', 'oil', 'chees', 'onion', 'garlic', 'dill', 'lemon peel', 'ground pepper', 'half']",greek
83,"['ground turkey', 'juic lemon', 'lemon zest', 'oregano', 'garlic', 'salt', 'pepper', 'chees', 'chees cream', 'dill', 'yogurt', 'bun hamburg', 'tomato', 'cucumb', 'onion']",greek
84,"['oil', 'onion', 'salt sea', 'ground pepper', 'balsam vinegar', 'sugar', 'potato', 'chicken', 'chees', 'egg', 'thyme', 'cream', 'pastri']",french
85,"['oil', 'onion', 'clove garlic', 'flake pepper', 'tomato tuttorosso', 'past tomato', 'sugar', 'oregano', 'cream', 'shrimp', 'salt', 'pepper', 'kalamata', 'chees']",greek
86,"['oil veget', 'pork', 'potato', 'appl', 'onion', 'flour', 'wine', 'ground mustard', 'sauc worcestershir', 'butter', 'milk']",english
87,"['oil', 'roast rump', '', 'onion', 'paprika', 'paprika', 'pepper', 'juic tomato', 'beef stock', 'ground pepper', 'cream']",hungarian
88,"['pinenut', 'chees', 'half', 'chees cream', 'fettuccin', 'spinach', 'ham', 'parsley', 'salt']",american
89,"['appl juic', 'sugar', 'mustard', 'beef', 'potato', 'carrot', 'onion', 'cabbag']",irish
90,"['butter', 'onion', 'ground pepper', 'salt', 'clove garlic', 'leav thyme', 'rosemari', 'broth chicken', 'balsam vinegar', 'dijon mustard', 'chicken thigh', 'chees gruyer']",french
91,"['bacon', 'onion', 'beef ground', 'chili', 'garlic', 'chili', 'cumin', 'oregano', 'salt', 'tomato', 'beef broth', 'bean kidney', 'lime', 'cilantro', 'cheddar chees']",mexican
92,"['meat stew', 'flour', 'salt', 'pepper', 'paprika', 'oil', 'onion', 'sauc tomato', 'beef', 'garlic']",hungarian
93,"['beef chuck roast', 'pepper', 'onion', 'beer', 'ketchup', 'sugar', 'flour', 'water']",german
94,"['pork tenderloin', 'cumin ground', 'pepper', 'garlic', 'oil', 'salt', 'mayonnais', 'hoagi roll', 'mustard', 'ham', '', 'dill pickl']",cuban
95,"['eggplant', 'chees ricotta', 'garlic', 'onion', 'salt sea', 'oil', 'onion', 'bell pepper', 'paprika', 'cumin ground', 'cinnamon ground', 'flake pepper', 'harissa sauc', 'tomato', 'basil', 'chees']",moroccan
96,"['salt', 'pasta', '', 'oil', 'pepper', 'chees pecorino romano']",italian
97,"['belli pork', 'pork shoulder', 'liver pork', 'onion', 'salt', 'pepper', '', 'thyme', 'pork']",german
98,"['breast chicken', 'sauc', 'onion', 'oliv', 'oil', 'clove garlic', 'wine']",cuban
99,"['rice', 'beef', 'onion', '', 'sauc soy', 'mirin', 'sugar', 'sake']",japanese
100,"['breast chicken halv', 'onion', 'apricot', 'raisin', 'broth chicken', 'past tomato', 'juic lemon', 'flour', 'ginger ground', 'cumin ground', 'cinnamon ground', 'pepper', 'curri powder', 'cayenn pepper', 'couscou', 'water']",moroccan
101,"['ground lamb', 'mint', 'dill', 'kalamata', 'oregano', 'cumin ground', 'coriand', 'salt', 'pepper', 'bun burger', 'arugula babi', 'sauc tzatziki', 'tomato', 'cucumb', 'onion', 'chees']",greek
102,"['peppercorn', 'mustard seed', 'cumin seed', 'coriand seed', 'fenugreek seed', 'clove', 'cinnamon', 'paprika', 'palm vinegar', 'ground turmer', 'sugar', 'garlic', 'ginger', 'chicken thigh', 'canola oil', 'onion', 'chili', 'potato', 'rice']",indian
103,"['fish', 'ground pepper', 'salt', 'somen', 'cherri tomato', 'daikon', 'cucumb', 'sauc', 'mitsuba']",japanese
104,"['bean', 'water', 'clove garlic', 'onion', 'pepper', 'paprika', 'cumin ground', 'bay leav', 'oregano', 'chicken stock', 'chili', 'vinegar', 'pepper', 'salt']",cuban
105,"['beef ground', 'onion', 'chili', 'pasta sauc', 'size taco tortilla wheat', 'cheddar chees', 'oil veget']",mexican
106,"['onion', 'carrot', 'oil', 'bay leav', 'beef brisket', '', 'beef stock', 'spice', 'bacon', 'gold potato', 'salt sea', 'cabbag savoy', 'stock veget', 'cream', 'butter', 'scallion', 'parsley', 'thyme', 'pepper', 'nutmeg']",irish
107,"['chicken thigh', 'ear mushroom wood', 'water', 'chicken stock', '', 'burdock', 'vinegar', 'canola oil', 'onion', 'mushroom shiitak', 'ginger', 'garlic', 'mirin', 'miso', 'sauc soy', 'rib', 'green mustard', 'scallion']",japanese
108,"['roast', 'sugar', 'flour', 'beef broth', 'thyme', 'salt', 'pepper', 'garlic', 'celeri', 'potato', 'carrot', 'onion', 'bean', 'garden pea']",english
109,"['beef ground', 'onion vidalia', 'clove garlic', 'pepper', '', 'thyme', 'pur?? tomato', 'paprika', 'vinegar wine', 'sauc worcestershir', 'mustard', 'water', 'salt']",hungarian
110,"['plum tomato', 'oil', 'onion', 'clove garlic', 'broth', 'ham', 'oliv', 'fish', 'salt', 'mayonnais', 'pimenton']",spanish
111,"['parsley', 'onion', 'carrot', 'clove garlic', 'chili', 'oil', 'bone meat', 'salt', 'pepper', 'lentil', 'water', 'bread', 'vinegar wine', 'escarol', 'grain mustard']",french
112,"['steak', 'sauc soy', 'sherri', 'sugar', 'corn starch', 'ginger', 'pea snow', 'scallion', 'salt', 'peanut', 'pepper', 'jasmin']",chinese
113,"['breast chicken', 'noodl', 'carrot', 'mushroom straw', 'oil veget', 'garlic', 'salt', 'pepper', 'sauc soy', 'rice wine', 'oil sesam', 'corn starch', 'broth chicken', 'oyster sauc', 'sugar']",chinese
114,"['oil', 'sausag', 'noodl', 'sauc', 'sauc soy', 'onion']",chinese
115,"['salt', 'spaghetti', 'oil', 'clove garlic', 'flake pepper', 'parsley', 'chees parmesan']",italian
116,"['pumpkin', 'potato', 'ginger', 'oil', 'garlic', 'onion', 'cilantro', 'tomato', 'garam masala', 'chili', 'salt sea', 'bay leaf', 'water', 'cumin ground', 'amchur']",indian
117,"['oil', 'bone chicken thigh', 'salt', 'pepper', 'fennel', 'wine', 'onion', 'garlic', 'broth chicken', 'tomato', 'bay leaf', 'thyme', 'saffron thread', 'bread']",french
118,"['beef shank', 'parsley', 'thyme', 'bay leaf', 'pancetta', 'baton', 'onion', 'carrot', 'garlic', 'noir pinot', 'chicken stock', 'past tomato', 'mushroom powder', 'onion pearl', 'button mushroom', 'brandi', 'flour']",french
119,"['fish', 'oil', 'plum tomato', 'chees', 'onion', 'basil', 'kalamata', 'juic lemon']",greek
120,"['oil', 'garlic', 'oregano', 'dill', 'mix', 'egg', 'spinach', 'chees', 'salt', 'pepper', 'burger', 'bun hamburg wheat', 'pepper', 'onion', 'tomato', 'chees', 'yogurt', 'cucumb', 'clove garlic', 'juic lemon']",greek
121,"['ketchup', 'water', 'molass', 'appl cider vinegar', 'dijon mustard', 'sugar', 'sauc worcestershir', 'salt', 'sauc', 'clove garlic', 'pepper', 'chicken part', 'oil veget']",american
122,"['onion', 'beef ground', 'flour', 'butter', 'season', 'beef broth', 'veget', 'potato', 'cheddar chees']",english
123,"['spray', 'beef steak tenderloin', 'pepper', 'salt', 'mushroom', 'onion', 'garlic', 'beef broth', 'cream', 'parsley']",american
124,"['breast chicken', 'salt', 'pepper', 'butter', 'oil', 'pancetta', 'shallot', 'clove garlic', 'wine', 'broth chicken', 'pepper', 'thyme', 'tomato', 'oliv']",spanish
125,"['elbow macaroni', 'salt', 'oil', 'butter', 'meat turkey', 'clove garlic', 'onion', 'bell pepper', 'paprika', 'cumin ground', '', 'pepper', 'chicken stock', 'cream', 'leaf parsley', 'dill']",hungarian
126,"['bean', 'radish', 'oil', 'chicken ground', 'garlic', 'sauc soy', 'oil sesam']",chinese
127,"['chop pork', 'sausag', 'potato', 'cabbag', 'onion', 'appl', 'sauerkraut', 'caraway seed', 'broth chicken', 'appl juic', 'pepper', 'clove ground']",german
128,"['canola oil', 'breast chicken', 'garlic', 'bell pepper', 'pea snow', 'cashew nut', 'onion', 'broth chicken', 'sauc soy', 'corn starch', 'ginger ground']",chinese
129,"['sugar', 'peel', 'mustard', 'clove ground', 'beef brisket', 'onion', 'water', 'appl juic', 'carrot', 'cabbag']",irish
130,"['gold potato', 'butter', 'onion', 'salt', 'beef', 'ground pepper', 'egg', 'parsley']",irish
131,"['breast chicken', 'paprika', 'salt', 'butter', 'onion', 'garlic', 'tomato', 'chicken stock', 'cream', 'noodl']",hungarian
132,"['flour', 'sugar', 'salt', 'powder', 'butter', 'juic', 'ice water', 'oil', 'onion', 'garlic', 'tomato', 'artichok heart', 'spinach', 'egg', 'milk', 'chees', 'parsley']",greek
133,"['pita pocket', 'breast chicken', 'grape tomato', 'cucumb', 'onion', 'kalamata', 'oil', 'pepper', 'lemon zest', 'oregano', 'salt', 'chees']",greek
134,"['sauc soy', 'sugar', 'pineappl', 'juic lemon', 'ginger', 'oil', 'corn starch', 'water', 'breast chicken']",hawaiian
135,"['beef ground', 'dress ranch', 'dijon honey mustard', 'jack monterey']",english
136,"['oil', 'oregano', 'garlic', 'tomato', 'onion', 'parsley', 'juic lemon', 'spaghetti', 'chees', 'ground pepper', 'lemon slice', 'onion']",greek
137,"['juic lemon', 'oregano', 'oil', 'garlic', 'breast chicken', 'zucchini', 'onion', 'clove garlic', 'salt', 'pepper']",greek
138,"['sprig thyme', 'parsley sprig', 'beef brisket', 'bay leav', 'peppercorn', 'onion', 'carrot', 'potato', 'cabbag', 'cream', 'horseradish', 'salt']",irish
139,"['breast chicken', 'sauc soy', 'water', 'sugar', 'onion', 'onion', 'garlic', 'oil sesam', 'coconut milk']",hawaiian
140,"['', 'cauliflow', 'broccoli', 'onion', 'clove garlic', 'butter', 'flour', 'milk', 'dijon mustard', 'bacon rasher', 'breadcrumb panko', 'butter', 'parsley', 'salt', 'pepper']",english
141,"['chunk soya', 'oil', 'butter', 'tomato', 'onion', 'clove garlic', 'ginger piec', 'past tomato', 'cashew nut', 'bay leaf', 'ground turmer', 'garam masala', 'chili', 'methi', 'salt', 'sugar', 'coconut milk', 'coriand']",indian
142,"['classico oil oliv', 'shrimp', 'dillwe', 'garlic sauc', 'pea', 'broth chicken', 'angel hair']",italian
143,"['oil veget', 'eggplant', 'onion', 'celeri', 'salt', 'pepper', 'crawfish', 'egg', 'milk', 'powder', 'flour', 'sauc']",american
144,"['oil', 'breast chicken', 'butter', 'mushroom', 'shallot', 'garlic', 'marsala wine', 'broth chicken', 'juic lemon', 'salt', 'pepper', 'parsley']",italian
145,"['cook oil spray', 'cider vinegar', 'cabbag', 'salt', 'appl fuji', 'gold potato', 'pepper', 'egg white', 'panko', 'chicken cutlet']",german
146,"['oil', 'sausag', 'cabbag', 'fennel', 'frond', 'onion', 'garlic powder', 'fennel seed', 'ground pepper', 'potato', 'broth chicken', 'vinegar wine', 'grain mustard', 'sausag', 'potato', 'sausag', 'sauerkraut', 'fontina', 'fusilli', 'arugula']",german
147,"['chuck ground', 'salt', 'pepper', 'ciabatta roll', 'arugula', 'chees', 'bacon', 'bacon drip', 'onion', 'sauerkraut', 'appl cider', 'cider vinegar', 'sugar', 'celeri seed', 'paprika']",german
148,"['pea', 'water', 'beef cube stock', 'onion', 'kielbasa']",american
149,"['beef ground', 'oil', 'onion', 'garlic', 'ginger', 'chestnut water', 'hoisin sauc', 'sauc soy', 'bibb lettuc', 'carrot', 'peanut', 'seed sesam', 'onion']",chinese
150,"['beef ground', 'onion', 'bouillon cube', 'pea', 'potato', 'sauc', 'corn starch', 'water', 'milk', 'butter']",english
151,"['chili', 'oil', 'beef ground', 'salt', 'ground pepper', 'blend chees', 'onion', 'chili', 'egg', 'cream', 'cumin ground', 'chili', 'salsa', 'avocado']",mexican
152,"['onion', 'garlic', 'bell pepper', 'carrot', 'lentil', 'broth', 'past tomato', 'water', 'chunk pineappl', 'appl cider vinegar', 'sauc soy', 'flake pepper', 'green']",hawaiian
153,"['breast chicken', 'oil veget', 'onion', 'broccoli floret', 'carrot', 'pea snow', 'noodl', 'sauc teriyaki']",chinese
154,"['chicken ground', 'season', 'lime', 'cilantro', 'coriand seed', 'salt']",indian
155,"['brown hash', 'butter', 'onion vidalia', 'thyme', 'egg', 'half', 'chees gruyer', 'pepper', 'salt']",french
156,"['bacon slab', 'lardon', 'chicken', 'salt', 'ground pepper', 'clove garlic', 'onion', 'carrot', 'wine', 'chicken stock', 'butter', 'oil', 'shiitak', 'parsley']",french
157,"['juic lime', 'saffron thread', 'mayonnais', 'oil', 'pepper sauc', 'oil', 'shallot', 'clove garlic', 'pepper', 'wine', 'mussel', 'sprig thyme', 'chorizo', 'tomato', 'pepper', 'parsley', 'canola oil', 'egg', 'milk', 'cayenn pepper', 'bread sourdough', 'clam juic', 'fish', 'sweeten']",spanish
158,"['chicken thigh', 'honey', 'sauc teriyaki', 'sauc soy', 'garlic', 'onion powder', 'pepper']",japanese
159,"['rice', 'egg', 'oil sesam', 'chili', 'garlic', 'ginger', 'beansprout', 'fren pea', 'shrimp', 'sake', 'sauc soy', 'bacon', 'scallion']",chinese
160,"['oil', 'onion', 'celeri rib', 'carrot', 'beef ground', 'ground veal', 'pancetta', 'wine', 'beef stock', 'past tomato', 'ground pepper', 'salt', 'milk', 'pasta', 'chees parmesan']",italian
161,"['oil', 'chorizo', 'onion', 'clove garlic', 'bell pepper', 'potato', 'salt', 'pepper', 'paprika', 'mustard', 'butter', 'flour', 'milk', 'chees manchego', 'jack monterey', 'oliv', 'shell', 'breadcrumb panko']",spanish
